latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-23.216,149.856,333.2,1.2,1.1,2021-02-12,0000,T,81,6.0NRT,310.4,24.6,D
-26.748,147.175,335,1.5,1.2,2021-02-12,0000,T,83,6.0NRT,304.2,38.7,D
-26.756,147.157,325.8,1.5,1.2,2021-02-12,0000,T,71,6.0NRT,304,14.8,D
-26.759,147.173,375.1,1.5,1.2,2021-02-12,0000,T,100,6.0NRT,305.5,221.4,D
-26.762,147.188,329.3,1.5,1.2,2021-02-12,0000,T,76,6.0NRT,303.8,22.5,D
-26.76,147.166,357.2,1.5,1.2,2021-02-12,0000,T,98,6.0NRT,305.1,117.4,D
-26.762,147.182,340.9,1.5,1.2,2021-02-12,0000,T,88,6.0NRT,304.2,53.8,D
-30.535,152.219,314.4,1,1,2021-02-12,0005,T,37,6.0NRT,294.5,11,D
-6.117,-35.139,303.2,1.1,1.1,2021-02-12,0045,T,49,6.0NRT,292.3,4.5,N
-17.802,-38.498,307.1,2.8,1.6,2021-02-12,0040,T,51,6.0NRT,290.8,27.4,N
-7.029,-34.985,304.2,1.1,1.1,2021-02-12,0040,T,59,6.0NRT,292.5,5,N
29.711,19.877,307.8,1.4,1.2,2021-02-12,0015,A,73,6.0NRT,282.4,18.3,N
29.236,19.699,303.1,1.4,1.2,2021-02-12,0015,A,53,6.0NRT,281.8,13.8,N
28.911,20.961,311.3,1.2,1.1,2021-02-12,0015,A,82,6.0NRT,283.3,16.7,N
28.91,20.954,307.7,1.2,1.1,2021-02-12,0015,A,72,6.0NRT,282.9,14.8,N
28.91,19.777,307,1.4,1.2,2021-02-12,0015,A,70,6.0NRT,283.8,17.9,N
3.068,9.997,304,3,1.6,2021-02-12,0025,A,58,6.0NRT,291.1,23.3,N
3.069,9.989,302.8,3,1.6,2021-02-12,0025,A,52,6.0NRT,291.1,19.7,N
1.43,16.179,307.9,1.1,1,2021-02-12,0025,A,73,6.0NRT,292.9,8,N
-6.241,10.733,306.9,1.8,1.3,2021-02-12,0025,A,50,6.0NRT,293.7,10.2,N
12.04,14.033,301.6,2,1.4,2021-02-12,0020,A,43,6.0NRT,283.7,18.5,N
12.037,14.051,308.4,2,1.4,2021-02-12,0020,A,74,6.0NRT,286,29.2,N
12.036,14.043,314.6,2,1.4,2021-02-12,0020,A,90,6.0NRT,286,39.7,N
11.25,19.485,311.6,1,1,2021-02-12,0020,A,83,6.0NRT,293.6,10.3,N
11.234,19.464,304.1,1,1,2021-02-12,0020,A,53,6.0NRT,293.2,4.9,N
10.911,20.092,302.8,1,1,2021-02-12,0020,A,52,6.0NRT,291.7,5.7,N
10.461,20.084,309.2,1,1,2021-02-12,0020,A,77,6.0NRT,291.6,9.6,N
9.761,23.154,308.6,1.4,1.2,2021-02-12,0020,A,75,6.0NRT,292.3,15.3,N
9.649,22.49,306.2,1.3,1.1,2021-02-12,0020,A,67,6.0NRT,293.9,10.2,N
9.743,20.629,302.7,1,1,2021-02-12,0020,A,51,6.0NRT,289.6,6.1,N
9.419,20.709,303.3,1.1,1,2021-02-12,0020,A,54,6.0NRT,290.9,6.7,N
9.625,17.659,315.2,1.1,1,2021-02-12,0020,A,91,6.0NRT,290.3,16.6,N
8.676,20.001,301.7,1,1,2021-02-12,0020,A,43,6.0NRT,290.8,5.2,N
9.351,13.919,300.9,1.8,1.3,2021-02-12,0020,A,35,6.0NRT,290.2,12.6,N
8.023,22.617,301.9,1.4,1.2,2021-02-12,0020,A,45,6.0NRT,290.6,8.7,N
8.011,22.027,303.3,1.2,1.1,2021-02-12,0020,A,54,6.0NRT,288.4,9.9,N
8.034,20.351,324.3,1,1,2021-02-12,0020,A,100,6.0NRT,284.9,25.2,N
8.024,20.349,305.1,1,1,2021-02-12,0020,A,63,6.0NRT,283.8,8.5,N
